#MainDesig,EquivDesig,Class,YmJ,YmJerr,YmJt_min,JmK,JmKerr,JmKt_min,HmK,HmKerr,HmKt_min,TaxClassKNN,KNNMCProb,TaxClassProb,ProbProb,TaxClassFin
202177,202177|2004 XH5,MBMMB,0.461368,0.085580009952675,6.6268440010026,0.760873,0.23701907888027,7.1902079950087,,,,Ad,0.616284,Ad,0.70,U
30580,30580|2001 PG2|1979 OJ1|1999 EZ11|2000 KJ78,MBOMB,0.287273,0.032926684770866,8.2635119953193,0.3707125,0.075311119145847,6.4130399969872,,,,Kl,0.343408,Kl,0.40,Kl
269724,269724|1998 RP23|2003 WT75,MBMMB,0.272088,0.019092876516845,10.026683999458,0.4099075,0.038501876132859,6.1619040020742,,,,Cgx,0.515527,Xt,0.32,U
33553,33553|1999 JQ17|2000 RA71|Nagai,MBMMB,0.5489275,0.016569994553409,8.2635119953193,0.4190785,0.039373043427579,5.9545080049429,,,,S,0.999224,S,0.44,S
2970,2970|1978 UC|1950 ER|1954 CC|1975 CK|Pestalozzi,MBMMB,0.395045,0.006841053098756,8.2635119953193,0.476854,0.013514592724163,5.9545080049429,,,,S,1.0,S,0.89,S
179902,179902|2002 VO4,Trojan,0.067727999999999,0.099428956208692,7.1987399971113,0.949227,0.26695810844869,6.9978959974833,,,,Ad,0.619533,Ad,0.37,U
98069,98069|2000 RX52|1992 UY10|1997 BF,MBMMB,0.4372275,0.042763583301098,7.1987399971113,0.4179245,0.11023780495705,6.0188040020876,,,,S,0.902226,S,0.82,S
44629,44629|1999 RT83|1998 HO111,MBIMB,0.30543,0.044322185959743,7.1987399971113,0.4710185,0.054929737635911,19.037987999618,0.065480999999998,0.05706445957862,9.6174720057752,Kl,0.357208,Kl,0.30,Kl
71480,71480|2000 BZ28|1995 BP16|Roberthatt,MBOMB,0.143105,0.076914173079479,7.7747759933118,0.801417,0.16334136457584,5.9525280003436,,,,Ad,0.398972,Ad,0.51,U
100195,100195|1994 CR12|2000 KO2,MBOMB,0.3472935,0.093479097211622,7.7747759933118,0.658726,0.21592612293039,5.9525280003436,,,,Ds,0.318277,Ad,0.40,U
53734,53734|2000 EB46|1998 SZ139,MBIMB,0.6125015,0.020453397725072,7.7747759933118,0.091469499999999,0.0605793231206,5.9525280003436,,,,V,0.999927,V,1.00,V
95775,95775|2003 ET53|1983 TV2,MBMMB,0.2563335,0.039178752245317,7.7747759933118,0.1328945,0.14579660128669,5.9525280003436,,,,Kl,0.731819,Kl,0.54,U
130955,130955|2000 WT90|2002 GE122,MBMMB,0.6122755,0.078471514784029,8.8360200065654,0.5087415,0.18602343690917,5.885783995036,,,,S,0.618735,V,0.47,U
334232,334232|2001 TH70,MBIMB,0.2616035,0.081784193628721,7.1987399971113,0.9150665,0.2152628409416,5.0397119962145,,,,Ad,0.669304,Ad,0.62,U
97261,97261|1999 XT119,MBMMB,0.455723,0.064525010656721,8.8360200065654,0.2850075,0.19894173417486,5.885783995036,,,,S,0.579296,S,0.57,U
112922,112922|2002 QN63|1996 JQ14,MBOMB,0.4088235,0.10839396662407,7.7747759933118,0.860706,0.27932539086028,4.9778280069586,,,,Ad,0.677147,Ad,0.60,U
76526,76526|2000 GS54|2002 RO68,MBOMB,0.4102075,0.06770583845024,8.451035998296,0.688792,0.18157680801248,5.3152919991408,,,,Ad,0.428728,Ad,0.56,U
379435,379435|2010 CX41,MBOMB,0.3758765,0.11107917034823,7.7604479994625,0.81807825,0.17301743785093,6.3322560000233,,,,Ad,0.641656,Ad,0.71,U
80672,80672|2000 BU17|2002 TW273,MBIMB,0.447869,0.082335462135097,9.847944000503,0.505191,0.2071534014903,6.2009999959264,,,,S,0.553093,S,0.38,U
335045,335045|2004 RW96,MBMMB,0.4774645,0.089408479274899,9.1625399992336,0.588553,0.18881278393954,5.219424002571,,,,S,0.493152,Ad,0.46,U
80451,80451|2000 AA|Alwoods,MBIMB,0.559291,0.056732173142759,6.9487920007668,-0.0252965,0.21195421355389,6.3745919975918,,,,V,0.928371,V,0.99,U
267495,267495|2002 JR16,MBMMB,0.24938775,0.054384183596888,6.4779667218681,0.17433425,0.24875594247826,6.8454172764905,,,,Kl,0.461538,Kl,0.35,U
156103,156103|2001 SL238,MBIMB,0.3547775,0.090921226154842,6.9487920007668,0.5836705,0.30415349993753,7.4030760023743,,,,Ad,0.280184,Ad,0.32,U
11089,11089|1994 CS8,Trojan,0.2573825,0.012633139772044,6.9487920007668,0.495111,0.029931701630545,6.3745919975918,,,,C,0.597416,C,0.34,C
49861,49861|1999 XG101|1995 WZ37,MBIMB,0.400751,0.062390885916935,6.9487920007668,0.5709105,0.15716912119911,6.3745919975918,,,,S,0.440066,Ad,0.34,U
63621,63621|2001 QZ78|1997 TG18,MBIMB,0.4401275,0.017091254934908,9.5621400035452,0.463945,0.040393458984716,6.237792003667,,,,S,0.999517,S,0.95,S
127665,127665|2003 DE16|1997 SF13,MBIMB,0.539787,0.054882283573572,8.8523999950849,0.264978,0.16382255343969,6.3077400019392,,,,V,0.531143,V,0.81,U
124547,124547|2001 RG121,MBIMB,0.3766765,0.053636101100379,8.8523999950849,0.2816515,0.17067713666306,6.3077400019392,,,,S,0.665632,S,0.55,U
183828,183828|2004 BV95|1999 NU28,MBIMB,0.1592955,0.038387402979363,8.8523999950849,0.3118325,0.12295036884247,6.3077400019392,,,,Bk,0.555835,Bk,0.79,Bk
158319,158319|2001 VM77,MBIMB,0.370521,0.088792403441961,8.8523999950849,0.720373,0.19498872050391,6.3077400019392,,,,Ad,0.434106,Ad,0.52,U
163545,163545|2002 TJ88,MBOMB,0.414572,0.058606036015926,9.5317199919373,0.60323,0.13286301333046,6.2439480086323,,,,S,0.404452,Ad,0.43,U
158417,158417|2002 AC106,MBMMB,0.4044825,0.086581929282328,9.5317199919373,0.3993285,0.32503140061539,7.2896760085132,,,,S,0.397306,S,0.31,U
97356,97356|2000 AY27|2001 GU5,MBOMB,0.3170395,0.079629576888867,6.9487920007668,0.969687,0.18022949569785,5.3461080032866,,,,Ad,0.826209,Ad,0.82,U
149371,149371|2002 XR69|2004 HJ18,MBIMB,0.583277,0.10097770066208,9.5317199919373,0.9518535,0.22479565188522,7.2896760085132,,,,Ad,0.902675,Ad,0.96,U
41531,41531|2000 RN9|1998 HW5,MBMMB,0.401186,0.025008407731201,9.5317199919373,0.4102455,0.065949165172881,6.2439480086323,,,,S,0.979965,S,0.91,S
