#MainDesig,ProbClass,ProbProb
32215,Ad,0.34
58436,Ad,0.87
10560,Ad,0.65
129621,Ad,0.58
16311,S,0.75
29725,Bk,0.53
168466,Ad,0.62
94986,Ad,0.58
54061,V,0.99
196386,Ad,0.84
30021,Ad,0.70
19900,Ad,0.85
34200,Ad,0.59
2571,D,0.84
28052,Kl,0.33
6629,Ad,0.31
946,C,0.42
55438,Kl,0.37
2124,Kl,0.80
74161,Kl,0.23
102865,S,0.42
80024,Ad,0.44
70543,S,0.93
166412,Ad,0.89
47483,S,0.99
56751,C,0.24
117571,Kl,0.66
206742,Ad,0.78
45398,Ad,0.55
44269,Kl,0.83
207051,Kl,0.41
94365,Ad,0.41
96306,Ad,0.49
5659,Ad,0.74
4029,S,0.97
19342,Ad,0.34
10815,Ad,0.35
46157,Ad,0.78
246185,Ad,0.58
351000,Ad,0.69
14888,S,0.85
243905,Ad,0.96
14881,Ad,0.81
148420,Ad,0.63
68801,V,1.00
2012 XB120,Kl,0.20
38699,S,0.99
98258,S,0.91
248491,Ad,0.38
297966,Ad,0.27
68141,V,1.00
81201,S,0.45
100916,Xt,0.34
250306,Kl,0.42
134477,V,0.96
255531,S,0.87
359696,Ad,0.88
138071,Kl,0.34
115541,Ad,1.00
148097,Ad,0.49
78118,Bk,0.65
33209,C,0.36
8312,Kl,0.47
237879,Ad,0.85
43437,Ad,0.91
21931,D,0.67
35478,D,0.46
73388,Ad,0.61
301757,Ad,0.97
64034,Ad,0.74
61321,Ad,0.74
1935,Xt,0.27
42814,S,0.35
19332,Kl,0.27
17708,V,1.00
40970,C,0.65
8112,Ad,0.77
34863,Ad,0.74
25222,Kl,0.62
48185,Kl,0.34
45239,Ad,0.81
31440,Ad,0.88
12514,S,0.90
73642,Ad,0.90
83517,Ad,0.84
12376,S,0.99
167151,Ad,0.66
8226,D,0.40
241119,Ad,0.84
16862,V,1.00
43911,S,0.78
98438,Ad,0.77
160402,Ad,0.74
24532,Ad,0.88
19974,V,0.63
9746,V,1.00
70799,Ad,0.58
117102,Kl,0.48
75385,Ad,0.41
20534,Ad,0.33
12605,Ad,0.96
5236,S,1.00
31279,C,0.22
24666,Kl,0.30
29435,Xt,0.23
91353,V,0.78
12462,Ad,0.33
2664,Ad,0.24
104441,Ad,0.53
96100,Ad,0.53
162909,Ad,0.62
83136,Ad,0.53
47938,Ad,0.96
8063,S,0.66
4470,C,0.66
49558,Ad,0.56
10773,Ad,0.97
166655,Ad,0.35
32067,S,0.53
37740,Ad,0.65
42945,S,0.59
234315,Ad,0.84
63567,Ad,0.62
57263,C,0.27
28919,S,0.92
8211,Ad,0.97
91364,V,0.60
106102,Ad,0.28
175186,Ad,0.61
55069,Kl,0.69
253395,V,0.95
207465,Ad,0.59
93943,Ad,0.75
37770,Ad,0.69
179157,Kl,0.47
74946,Ad,0.65
250750,Ad,0.42
17966,S,0.99
83504,Kl,0.46
2012,C,0.61
179881,Xt,0.37
99719,Ad,0.38
15051,Ad,0.27
11808,S,0.65
14228,S,0.51
15146,S,0.49
129501,Kl,0.30
23027,S,0.77
7668,S,0.71
31391,Ad,0.73
127724,Ad,0.65
2144,S,0.85
45785,Ad,0.80
29370,S,0.86
72615,S,0.63
248867,S,0.46
15000,Xt,0.32
130514,Ad,0.51
247300,Kl,0.21
163757,Ad,0.32
32373,Ad,0.54
8683,S,0.34
131492,Ad,0.66
122684,C,0.44
297906,Ad,0.57
10840,D,0.64
244109,Ad,0.96
18732,C,0.55
132954,Ad,0.99
88793,V,0.66
134430,S,0.86
33040,Kl,0.28
251146,Ad,0.54
109970,Kl,0.63
363519,Ad,0.48
325783,Xt,0.19
86220,Kl,0.23
24645,Xt,0.61
30846,S,0.99
67927,Ad,0.53
369457,V,1.00
15675,Kl,0.75
411196,Ad,0.47
364694,V,1.00
458195,Ad,0.64
28319,S,0.98
56863,Kl,0.34
74762,S,0.99
21633,V,0.99
245551,Xt,0.26
7401,Cgx,0.50
37162,Bk,0.30
247137,Ad,0.63
63687,Kl,0.33
112203,Ad,0.90
18872,S,0.97
52666,Ad,0.35
1755,Bk,0.97
5000,Ad,0.84
20188,V,1.00
10541,Ad,0.61
39080,V,0.95
25643,S,0.71
2106,S,0.94
100080,Kl,0.39
44265,Ad,0.89
33632,S,0.98
159882,Ad,0.29
1625,Cgx,0.50
63771,Kl,0.25
172842,V,0.88
241976,Ad,0.72
65724,Kl,0.21
136408,Ad,0.53
136403,Ad,0.31
247889,Ad,0.72
133868,Ad,0.51
67232,Ad,0.81
62046,Ad,0.99
71427,Ad,0.31
18633,Ad,0.71
210681,D,0.29
55120,Ad,0.32
73720,S,0.86
36848,Bk,0.40
108229,Ad,0.49
52054,Ad,0.54
140650,Ad,0.91
31327,Bk,0.45
112405,Ad,0.80
44273,S,0.99
23959,S,0.81
20219,C,0.82
352894,Ad,0.52
46198,S,0.45
144724,V,0.55
82642,Ad,0.81
97436,Ad,0.94
15969,Kl,0.61
139989,Ad,0.81
81833,Kl,0.25
74790,Ad,0.86
196217,Ad,0.70
170960,V,0.29
357071,S,0.31
73154,Ad,0.48
46927,Ad,1.00
134688,Ad,0.98
28651,S,0.99
209082,Ad,0.69
173785,Ad,0.44
116918,Ad,0.48
363000,Ad,0.88
67477,V,1.00
294075,Ad,0.65
216367,Ad,0.42
448330,Ad,0.72
10769,S,0.52
46008,Kl,0.48
2685,S,0.99
43852,Ad,0.30
27747,Kl,0.25
10772,S,0.99
121145,V,0.97
8381,Kl,0.32
42969,Kl,0.47
3509,S,1.00
17724,Ad,0.76
16987,Ad,0.70
20677,S,0.86
55809,Ad,0.96
13058,Ad,0.48
60617,Ad,0.79
30977,S,0.80
13421,S,0.48
34833,Ad,0.59
2461,C,0.93
76770,Ad,0.75
10586,S,0.63
9448,Ad,0.83
90189,Ad,0.81
11207,V,0.96
72385,S,0.55
29439,Ad,0.61
26932,Ad,0.88
9302,V,1.00
90008,Ad,0.84
6286,V,1.00
124782,Ad,1.00
1047,S,1.00
22418,Ad,0.80
35126,V,0.46
10087,S,0.84
14743,Ad,0.98
55865,Ad,0.76
22088,S,0.75
170460,S,0.37
16126,S,0.96
62422,V,0.99
34795,Ad,0.37
98765,Ad,0.73
133951,Ad,0.44
21817,Ad,0.39
8239,Ad,0.24
9156,S,0.97
73075,Kl,0.48
10337,S,0.88
1535,D,0.62
65673,Ad,0.50
22085,S,0.99
64246,V,0.64
13788,S,0.95
558,D,0.68
97852,S,0.97
132041,Ad,0.53
33927,S,0.81
70154,S,0.55
135897,S,0.58
176448,S,0.44
132219,Kl,0.82
248888,Ad,0.83
8158,Kl,0.91
118402,Ad,0.30
101415,S,0.99
8309,S,0.97
139787,Ad,0.27
250389,Ad,0.25
23192,Ad,0.41
5450,C,0.81
129764,Ad,0.41
59459,Ad,0.32
44436,D,0.25
169784,Ad,0.39
30968,Ad,0.39
71281,Ad,0.54
42972,Kl,0.38
15291,Ad,1.00
10325,S,0.42
18163,Ad,0.35
42699,D,0.87
39155,Ad,0.32
230980,Ad,0.58
80097,Ad,0.31
16054,Kl,0.21
98890,Ad,0.78
21764,Ad,0.50
6042,V,0.65
95823,V,0.86
79323,C,0.59
66310,Kl,0.42
73562,S,0.67
69464,S,0.88
248639,Ad,0.20
205215,Ad,0.91
249622,Ad,0.93
251236,Ad,0.40
132195,Ad,0.99
360534,Ad,0.74
329566,Kl,0.29
12079,S,0.78
142650,D,0.22
362135,Ad,0.87
14932,Ad,0.77
182131,Kl,0.34
110426,Kl,0.31
110118,Ad,0.54
16692,S,0.98
57285,D,0.66
70674,V,0.98
321806,Ad,0.82
35284,V,1.00
183537,Kl,0.38
103132,V,1.00
173251,S,0.44
207499,Ad,0.53
171260,Kl,0.67
24085,V,1.00
110094,Ad,0.27
37656,C,0.46
79940,Ad,0.97
307298,Ad,0.23
35805,S,0.93
31383,Ad,0.53
82696,S,0.57
35773,Xt,0.23
107649,Ad,0.48
180089,S,0.53
66273,S,0.95
80099,Kl,0.60
80919,S,0.35
