MainDesig,TaxClass,MCProb
38043,Ds,0.657916
97951,S,0.61032
3095,Ds,0.898649
24093,S,0.308897
79518,S,0.684672
128154,Ds,0.345808
108186,S,0.575633
66862,Ad,0.397138
9149,S,0.950712
51947,S,0.37649
17361,C,0.571415
5032,Xt,0.325228
248946,Ad,0.801246
8910,Bk,0.719679
140287,C,0.436125
232965,Ds,0.508589
63017,C,0.49278
145019,Ds,0.420083
6919,S,0.85213
63389,C,0.251203
67666,S,0.563148
284611,C,0.683655
66009,S,0.627205
38549,V,0.578082
20498,Kl,0.360797
7952,C,0.384428
1485,S,0.921631
87276,Ds,0.365982
28022,Kl,0.424755
43346,Cgx,0.37155
15734,V,0.999764
76661,Ds,0.601618
49013,S,0.528091
69784,S,0.300532
7004,S,0.998753
30706,S,0.461497
26812,Ds,0.942293
18528,V,0.498514
55976,Ad,0.454578
53293,Ad,0.923392
24197,S,0.854931
67097,S,0.591349
17505,S,0.744067
6452,Kl,0.984616
96449,Ds,0.359609
71091,S,0.689905
9733,V,0.490508
18920,Ds,0.458823
668,Cgx,0.611754
4196,Ds,1.0
77570,Ds,0.556957
48424,S,0.922418
206438,Ad,0.526635
15569,C,0.692596
16169,V,0.999998
1536,S,1.0
111928,Ds,0.579051
2297,C,1.0
171528,C,0.584048
57726,Ad,0.324528
23189,Ds,0.488993
29143,C,0.264336
171428,Ad,0.978267
49177,S,0.99302
99225,S,0.678547
52356,Ad,0.515922
15409,S,0.401716
15476,V,0.993539
76216,S,0.430561
41163,Ds,0.356597
122931,S,0.543189
12861,Ds,0.515763
171305,V,0.907458
200268,Ad,0.958259
64194,Kl,0.337941
23156,Ad,0.828431
165433,Kl,0.225351
74092,V,0.575335
78525,S,0.58759
133889,C,0.274148
28902,V,0.809876
18741,S,0.631631
8079,Ds,0.777612
167243,S,0.449384
43190,Ds,0.82587
56409,C,0.339803
33352,S,0.988818
40067,S,0.973241
197487,Ad,0.522021
95816,Ds,0.754724
38681,Ds,0.867861
6844,S,0.909836
126202,C,0.411938
1705,C,0.969046
207178,Ad,0.392509
18044,V,0.495845
17889,Ds,0.998124
61871,V,0.641184
144414,V,0.34713
132995,Ad,0.237482
102698,Ds,0.576779
30723,Ds,0.595057
1434,Kl,0.706845
15407,S,0.999999
32127,S,0.293368
5042,Cgx,0.568609
5057,C,0.982324
51283,Kl,0.323043
521,Kl,0.991
250365,S,0.678795
251600,Ds,0.610967
29965,C,0.629707
20664,C,0.508525
30538,C,0.314377
55132,C,0.475585
32119,C,0.36643
28371,Cgx,0.391116
11905,Ds,0.54058
82048,S,0.327805
233904,Ds,0.363181
16010,Cgx,0.523752
43909,Ds,0.588122
11163,S,0.661012
70683,Ds,0.478204
165856,Ds,0.342184
203094,V,0.366589
